"scenario_id","rep_id","TT","n1","stress_type","sparse_beta0_shift","expected_count_multiplier","x2_mode","x2_ar","x2_innov_sd","x2_found","x2_mean","x2_sd","x2_min","x2_max","x2_binary_like_prop","x2_empirical_ar1_mean","x2_empirical_ar1_median","beta0_reference_truth","beta0_sparse_truth","beta0_star","beta0_star_ident","mean_count","median_count","zero_prop","nonzero_prop","total_count","max_count","q05_count","q25_count","q75_count","q95_count","mean_exposure","min_exposure","max_exposure","gamma_truth_mean","delta_truth","r_truth_mean","lambda_raw_min","lambda_raw_median","lambda_raw_max","lambda_ident_min","lambda_ident_median","lambda_ident_max","lambda_ident_log_rm_mean","reference_mean_count","reference_zero_prop","coherent","file"
"S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100",1,100,9,"observation_sparse_counts",-4.25,0.0142642339089993,"continuous_time",0.5,0.8,TRUE,4.44089209850063e-17,1,-3.31941998193933,3.61099462690737,0,0.500702401548939,0.521452615502433,-1.5,-5.75,-5.75,-6.38511540131423,2.22555555555555,1,0.358888888888889,0.641111111111111,2003,19,0,0,3,8,656.841291469245,291.48251758498,1168.75170429396,0.8,0.9,15,0.00572250577087872,1.04898643760695,2.25929664939123,0.258601708347133,0.998241490670351,2.09912711965495,3.63904508378828e-16,152.006666666667,0.0122222222222222,TRUE,"./data_s4a_sparse_counts_continuous_x2/S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100/data_rep01.rds"
"S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100",2,100,9,"observation_sparse_counts",-4.25,0.0142642339089993,"continuous_time",0.5,0.8,TRUE,9.76996261670138e-17,1,-3.32804966075023,3.24886634240592,0,0.471020565051243,0.452272363151258,-1.5,-5.75,-5.75,-5.63506352666298,3.13,2,0.173333333333333,0.826666666666667,2817,30,0,1,4,10,724.026171419258,311.909192262216,1145.58825906128,0.8,0.9,15,0.774654190759735,1.15860153633321,1.57783079727979,0.75293698671582,1.00050209411309,1.23171288561439,2.93426066623316e-17,228.057777777778,0,TRUE,"./data_s4a_sparse_counts_continuous_x2/S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100/data_rep02.rds"
"S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100",3,100,9,"observation_sparse_counts",-4.25,0.0142642339089993,"continuous_time",0.5,0.8,TRUE,-4.61359345788676e-17,1,-3.70940587039777,3.3628449575703,0,0.451410892465294,0.452369002080297,-1.5,-5.75,-5.75,-5.711673476828,2.91111111111111,2,0.175555555555556,0.824444444444444,2620,22,0,1,4,8.04999999999995,742.828380650023,328.087077787036,1123.59428988503,0.8,0.9,15,0.668375148168514,1.0653411253295,1.76959198620119,0.782412894359852,1.00002499061911,1.27651777505022,5.8521860197342e-17,209.543333333333,0,TRUE,"./data_s4a_sparse_counts_continuous_x2/S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100/data_rep03.rds"
"S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100",4,100,9,"observation_sparse_counts",-4.25,0.0142642339089993,"continuous_time",0.5,0.8,TRUE,4.51490696680897e-17,1,-3.52013067492084,3.42531225305197,0,0.478792173148008,0.460121702400557,-1.5,-5.75,-5.75,-6.24893288975913,1.95777777777778,1,0.312222222222222,0.687777777777778,1762,16,0,0,3,6,655.403339109013,367.078772207106,1225.33247695285,0.8,0.9,15,0.0214606500124003,0.697308156174293,1.33523584244554,0.368683096446175,1.00758969391781,2.48743034067827,2.94532916574515e-16,135.158888888889,0.00888888888888889,TRUE,"./data_s4a_sparse_counts_continuous_x2/S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100/data_rep04.rds"
"S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100",5,100,9,"observation_sparse_counts",-4.25,0.0142642339089993,"continuous_time",0.5,0.8,TRUE,-4.97441594088994e-17,1,-3.85697558102622,3.08546381677699,0,0.491010886099061,0.504819942274288,-1.5,-5.75,-5.75,-5.81369881057473,4.36444444444446,3,0.173333333333333,0.826666666666667,3928,61,0,1,5,16,887.757482377902,426.130275683098,1230.09755233465,0.8,0.9,15,0.563293865173621,0.921711233351976,1.48988402710663,0.812411870772345,1.00363767332967,1.1854649268604,7.91284476214176e-17,301.414444444444,0,TRUE,"./data_s4a_sparse_counts_continuous_x2/S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100/data_rep05.rds"
"S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100",6,100,9,"observation_sparse_counts",-4.25,0.0142642339089993,"continuous_time",0.5,0.8,TRUE,-1.92438657601694e-17,1,-2.7922870415046,2.90549111541309,0,0.509936183848334,0.512177790831771,-1.5,-5.75,-5.75,-5.87820166799763,2.89333333333333,2,0.233333333333333,0.766666666666667,2604,35,0,1,4,9,746.404876046611,362.395160911671,1195.19513601871,0.8,0.9,15,0.0981319076960104,1.12800104539093,1.55306906533243,0.671701905629369,1.00369731826595,1.39404054630323,1.96779321232694e-16,211.054444444444,0,TRUE,"./data_s4a_sparse_counts_continuous_x2/S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100/data_rep06.rds"
"S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100",7,100,9,"observation_sparse_counts",-4.25,0.0142642339089993,"continuous_time",0.5,0.8,TRUE,-2.368475785867e-17,1,-3.15479671329669,3.17616629233575,0,0.433517572431339,0.411979807479757,-1.5,-5.75,-5.75,-5.91316248304008,2.97555555555557,1,0.308888888888889,0.691111111111111,2678,45,0,0,4,11,604.23034726049,302.830619427248,1075.22122419596,0.8,0.9,15,0.233306126563407,1.05026246849152,1.54859536067072,0.664451469586054,1.00843301525104,1.45936769052892,7.37565872574761e-17,209.465555555556,0,TRUE,"./data_s4a_sparse_counts_continuous_x2/S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100/data_rep07.rds"
"S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100",8,100,9,"observation_sparse_counts",-4.25,0.0142642339089993,"continuous_time",0.5,0.8,TRUE,-5.42775700927854e-18,1,-2.74857454042641,2.81229935944405,0,0.485235053854419,0.52204721430941,-1.5,-5.75,-5.75,-6.04725193697302,2.62,1,0.312222222222222,0.687777777777778,2358,47,0,0,3,9.04999999999995,621.89731636801,314.497789568473,1013.89738560842,0.8,0.9,15,0.0645481684887387,0.985017320178688,1.40040684850713,0.51553310740229,0.996248166967459,2.20549534575597,1.62254469119697e-16,185.816666666667,0,TRUE,"./data_s4a_sparse_counts_continuous_x2/S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100/data_rep08.rds"
"S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100",9,100,9,"observation_sparse_counts",-4.25,0.0142642339089993,"continuous_time",0.5,0.8,TRUE,-5.9211894646675e-17,1,-3.31025976150639,3.65845536708981,0,0.466240347271394,0.469724236734233,-1.5,-5.75,-5.75,-5.8516665297927,2.8688888888889,2,0.217777777777778,0.782222222222222,2582,25,0,1,4,10,712.142365341312,309.901526286,1190.94772781571,0.8,0.9,15,0.317037871278204,1.08293003978693,2.09268298653263,0.731822629805188,0.993923746232133,1.31998233744889,8.751246255434e-17,194.292222222222,0,TRUE,"./data_s4a_sparse_counts_continuous_x2/S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100/data_rep09.rds"
"S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100",10,100,9,"observation_sparse_counts",-4.25,0.0142642339089993,"continuous_time",0.5,0.8,TRUE,-1.25825276124184e-16,1,-3.10530343206034,2.86607339270364,0,0.488604066010629,0.501570299783497,-1.5,-5.75,-5.75,-5.85878847912896,3.10777777777778,2,0.223333333333333,0.776666666666667,2797,41,0,1,4,10,763.063890650379,418.182860098175,1236.7443949057,0.8,0.9,15,0.293037070827604,1.09124272393877,1.55911405390598,0.672952675047904,0.999322478714037,1.70989759174562,8.38420767997524e-17,213.9,0,TRUE,"./data_s4a_sparse_counts_continuous_x2/S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100/data_rep10.rds"
